# i scale-factor redshift time[Gyr] time_width[Myr]
  0 0.0 0.0 0.0 97.8
  1 0.0 0.0 0.0978 97.8
  2 0.0 0.0 0.1956 97.8
  3 0.0 0.0 0.29340000000000005 97.8
  4 0.0 0.0 0.3912 97.8
  5 0.0 0.0 0.489 97.8
  6 0.0 0.0 0.5868000000000001 97.8
  7 0.0 0.0 0.6846000000000001 97.8
  8 0.0 0.0 0.7824 97.8
  9 0.0 0.0 0.8802 97.8
  10 0.0 0.0 0.978 97.8
  11 0.0 0.0 1.0758 97.8
  12 0.0 0.0 1.1736000000000002 97.8
  13 0.0 0.0 1.2714 97.8
  14 0.0 0.0 1.3692000000000002 97.8
  15 0.0 0.0 1.467 97.8
  16 0.0 0.0 1.5648 97.8
  17 0.0 0.0 1.6626 97.8
  18 0.0 0.0 1.7604 97.8
  19 0.0 0.0 1.8582 97.8
  20 0.0 0.0 1.956 97.8
  21 0.0 0.0 2.0538 97.8
  22 0.0 0.0 2.1516 97.8
  23 0.0 0.0 2.2494 97.8
  24 0.0 0.0 2.3472000000000004 97.8
  25 0.0 0.0 2.445 97.8
  26 0.0 0.0 2.5428 97.8
  27 0.0 0.0 2.6406 97.8
  28 0.0 0.0 2.7384000000000004 97.8
  29 0.0 0.0 2.8362000000000003 97.8
  30 0.0 0.0 2.934 97.8
  31 0.0 0.0 3.0318 97.8
  32 0.0 0.0 3.1296 97.8
  33 0.0 0.0 3.2274000000000003 97.8
  34 0.0 0.0 3.3252 97.8
  35 0.0 0.0 3.423 97.8
  36 0.0 0.0 3.5208 97.8
  37 0.0 0.0 3.6186000000000003 97.8
  38 0.0 0.0 3.7164 97.8
  39 0.0 0.0 3.8142000000000005 97.8
  40 0.0 0.0 3.912 97.8
  41 0.0 0.0 4.0098 97.8
  42 0.0 0.0 4.1076 97.8
  43 0.0 0.0 4.2054 97.8
  44 0.0 0.0 4.3032 97.8
  45 0.0 0.0 4.401 97.8
  46 0.0 0.0 4.4988 97.8
  47 0.0 0.0 4.5966000000000005 97.8
  48 0.0 0.0 4.694400000000001 97.8
  49 0.0 0.0 4.7922 97.8
  50 0.0 0.0 4.89 97.8
  51 0.0 0.0 4.9878 97.8
  52 0.0 0.0 5.0856 97.8
  53 0.0 0.0 5.183400000000001 97.8
  54 0.0 0.0 5.2812 97.8
  55 0.0 0.0 5.379 97.8
  56 0.0 0.0 5.476800000000001 97.8
  57 0.0 0.0 5.5746 97.8
  58 0.0 0.0 5.6724000000000006 97.8
  59 0.0 0.0 5.7702 97.8
  60 0.0 0.0 5.868 97.8
  61 0.0 0.0 5.965800000000001 97.8
  62 0.0 0.0 6.0636 97.8
  63 0.0 0.0 6.1614 97.8
  64 0.0 0.0 6.2592 97.8
  65 0.0 0.0 6.357 97.8
  66 0.0 0.0 6.4548000000000005 97.8
  67 0.0 0.0 6.5526 97.8
  68 0.0 0.0 6.6504 97.8
  69 0.0 0.0 6.748200000000001 97.8
  70 0.0 0.0 6.846 97.8
  71 0.0 0.0 6.9438 97.8
  72 0.0 0.0 7.0416 97.8
  73 0.0 0.0 7.1394 97.8
  74 0.0 0.0 7.2372000000000005 97.8
  75 0.0 0.0 7.335 97.8
  76 0.0 0.0 7.4328 97.8
  77 0.0 0.0 7.5306 97.8
  78 0.0 0.0 7.628400000000001 97.8
  79 0.0 0.0 7.7262 97.8
  80 0.0 0.0 7.824 97.8
  81 0.0 0.0 7.921799999999999 97.8
  82 0.0 0.0 8.0196 97.8
  83 0.0 0.0 8.1174 97.8
  84 0.0 0.0 8.2152 97.8
  85 0.0 0.0 8.313 97.8
  86 0.0 0.0 8.4108 97.8
  87 0.0 0.0 8.508600000000001 97.8
  88 0.0 0.0 8.6064 97.8
  89 0.0 0.0 8.7042 97.8
  90 0.0 0.0 8.802 97.8
  91 0.0 0.0 8.899799999999999 97.8
  92 0.0 0.0 8.9976 97.8
  93 0.0 0.0 9.0954 97.8
  94 0.0 0.0 9.193200000000001 97.8
  95 0.0 0.0 9.291 97.8
  96 0.0 0.0 9.388800000000002 97.8
  97 0.0 0.0 9.486600000000001 97.8
  98 0.0 0.0 9.5844 97.8
  99 0.0 0.0 9.6822 97.8
  100 0.0 0.0 9.78 97.8
  101 0.0 0.0 9.8778 97.8
  102 0.0 0.0 9.9756 97.8
  103 0.0 0.0 10.073400000000001 97.8
  104 0.0 0.0 10.1712 97.8
  105 0.0 0.0 10.269 97.8
  106 0.0 0.0 10.366800000000001 97.8
  107 0.0 0.0 10.4646 97.8
  108 0.0 0.0 10.5624 97.8
  109 0.0 0.0 10.6602 97.8
  110 0.0 0.0 10.758 97.8
  111 0.0 0.0 10.8558 97.8
  112 0.0 0.0 10.953600000000002 97.8
  113 0.0 0.0 11.051400000000001 97.8
  114 0.0 0.0 11.1492 97.8
  115 0.0 0.0 11.247 97.8
  116 0.0 0.0 11.344800000000001 97.8
  117 0.0 0.0 11.4426 97.8
  118 0.0 0.0 11.5404 97.8
  119 0.0 0.0 11.6382 97.8
  120 0.0 0.0 11.736 97.8
  121 0.0 0.0 11.833800000000002 97.8
  122 0.0 0.0 11.931600000000001 97.8
  123 0.0 0.0 12.0294 97.8
  124 0.0 0.0 12.1272 97.8
  125 0.0 0.0 12.225 97.8
  126 0.0 0.0 12.3228 97.8
  127 0.0 0.0 12.4206 97.8
  128 0.0 0.0 12.5184 97.8
  129 0.0 0.0 12.616200000000001 97.8
  130 0.0 0.0 12.714 97.8
  131 0.0 0.0 12.811800000000002 97.8
  132 0.0 0.0 12.909600000000001 97.8
  133 0.0 0.0 13.0074 97.8
  134 0.0 0.0 13.1052 97.8
  135 0.0 0.0 13.203 97.8
  136 0.0 0.0 13.3008 97.8
  137 0.0 0.0 13.3986 97.8
  138 0.0 0.0 13.496400000000001 97.8
  139 0.0 0.0 13.5942 97.8
  140 0.0 0.0 13.692 97.8
  141 0.0 0.0 13.789800000000001 97.8
  142 0.0 0.0 13.8876 97.8
  143 0.0 0.0 13.9854 97.8
  144 0.0 0.0 14.0832 97.8
  145 0.0 0.0 14.181 97.8
  146 0.0 0.0 14.2788 97.8
  147 0.0 0.0 14.376600000000002 97.8
  148 0.0 0.0 14.474400000000001 97.8
  149 0.0 0.0 14.5722 97.8
  150 0.0 0.0 14.67 97.8
  151 0.0 0.0 14.767800000000001 97.8
  152 0.0 0.0 14.8656 97.8
  153 0.0 0.0 14.9634 97.8
  154 0.0 0.0 15.0612 97.8
  155 0.0 0.0 15.158999999999999 97.8
  156 0.0 0.0 15.256800000000002 97.8
  157 0.0 0.0 15.354600000000001 97.8
  158 0.0 0.0 15.4524 97.8
  159 0.0 0.0 15.5502 97.8
  160 0.0 0.0 15.648 97.8
  161 0.0 0.0 15.745800000000001 97.8
  162 0.0 0.0 15.843599999999999 97.8
  163 0.0 0.0 15.9414 97.8
  164 0.0 0.0 16.0392 97.8
  165 0.0 0.0 16.137 97.8
  166 0.0 0.0 16.2348 97.8
  167 0.0 0.0 16.3326 97.8
  168 0.0 0.0 16.4304 97.8
  169 0.0 0.0 16.528200000000002 97.8
  170 0.0 0.0 16.626 97.8
  171 0.0 0.0 16.7238 97.8
  172 0.0 0.0 16.8216 97.8
  173 0.0 0.0 16.9194 97.8
  174 0.0 0.0 17.017200000000003 97.8
  175 0.0 0.0 17.115 97.8
  176 0.0 0.0 17.2128 97.8
  177 0.0 0.0 17.310599999999997 97.8
  178 0.0 0.0 17.4084 97.8
  179 0.0 0.0 17.506200000000003 97.8
  180 0.0 0.0 17.604 97.8
  181 0.0 0.0 17.701800000000002 97.8
  182 0.0 0.0 17.799599999999998 97.8
  183 0.0 0.0 17.8974 97.8
  184 0.0 0.0 17.9952 97.8
  185 0.0 0.0 18.093 97.8
  186 0.0 0.0 18.1908 97.8
  187 0.0 0.0 18.2886 97.8
  188 0.0 0.0 18.386400000000002 97.8
  189 0.0 0.0 18.4842 97.8
  190 0.0 0.0 18.582 97.8
  191 0.0 0.0 18.6798 97.8
  192 0.0 0.0 18.777600000000003 97.8
  193 0.0 0.0 18.8754 97.8
  194 0.0 0.0 18.973200000000002 97.8
  195 0.0 0.0 19.070999999999998 97.8
  196 0.0 0.0 19.1688 97.8
  197 0.0 0.0 19.266600000000004 97.8
  198 0.0 0.0 19.3644 97.8
  199 0.0 0.0 19.462200000000003 97.8
  200 0.0 0.0 19.56 97.8
